Time,Displacement (mm),Load (N),Failure Strain,Failure Area,Deviator  Strain
0:00:00,-0.75,76,0.000,0.000,0.000
0:00:10,-0.64,81,0.00000000,1134.115,7.142
0:00:20,-0.44,90,0.00000000,1134.115,7.936
0:00:30,-0.26,92,0.00000000,1134.115,8.112
0:00:40,-0.08,95,0.00000000,1134.115,8.377
0:00:50,0.1,97,0.00131579,1135.609,8.542
0:01:00,0.29,97,0.00381579,1138.459,8.520
0:01:10,0.46,99,0.00605263,1141.021,8.676
0:01:20,0.65,101,0.00855263,1143.898,8.829
0:01:30,0.83,101,0.01092105,1146.637,8.808
0:01:40,1.03,101,0.01355263,1149.696,8.785
0:01:50,1.2,104,0.01578947,1152.309,9.025
0:02:00,1.4,105,0.01842105,1155.399,9.088
0:02:10,1.59,104,0.02092105,1158.349,8.978
0:02:20,1.77,106,0.02328947,1161.158,9.129
0:02:30,1.96,106,0.02578947,1164.137,9.105
0:02:40,2.14,106,0.02815789,1166.975,9.083
0:02:50,2.32,106,0.03052632,1169.825,9.061
0:03:00,2.51,106,0.03302632,1172.850,9.038
0:03:10,2.69,108,0.03539474,1175.730,9.186
0:03:20,2.87,108,0.03776316,1178.624,9.163
0:03:30,3.06,108,0.04026316,1181.694,9.139
0:03:40,3.25,108,0.04276316,1184.780,9.116
0:03:50,3.43,110,0.04513158,1187.719,9.261
0:04:00,3.63,109,0.04776316,1191.001,9.152
0:04:10,3.81,109,0.05013158,1193.971,9.129
0:04:20,3.99,111,0.05250000,1196.955,9.274
0:04:30,4.18,110,0.05500000,1200.122,9.166
0:04:40,4.35,112,0.05723684,1202.969,9.310
0:04:50,4.54,110,0.05973684,1206.168,9.120
0:05:00,4.73,111,0.06223684,1209.383,9.178
0:05:10,4.92,113,0.06473684,1212.616,9.319
0:05:20,5.1,111,0.06710526,1215.694,9.131
0:05:30,5.28,112,0.06947368,1218.789,9.189
0:05:40,5.46,114,0.07184211,1221.899,9.330
0:05:50,5.65,114,0.07434211,1225.199,9.305
0:06:00,5.83,114,0.07671053,1228.342,9.281
0:06:10,6.01,116,0.07907895,1231.501,9.419
0:06:20,6.19,116,0.08144737,1234.676,9.395
0:06:30,6.38,116,0.08394737,1238.046,9.370
0:06:40,6.56,115,0.08631579,1241.255,9.265
0:06:50,6.75,115,0.08881579,1244.661,9.239
0:07:00,6.94,115,0.09131579,1248.085,9.214
0:07:10,7.12,115,0.09368421,1251.346,9.190
0:07:20,7.31,118,0.09618421,1254.808,9.404
0:07:30,7.49,114,0.09855263,1258.105,9.061
0:07:40,7.68,118,0.10105263,1261.603,9.353
0:07:50,7.88,117,0.10368421,1265.307,9.247
0:08:00,8.05,118,0.10592105,1268.473,9.303
0:08:10,8.23,117,0.10828947,1271.842,9.199
0:08:20,8.42,118,0.11078947,1275.418,9.252
0:08:30,8.61,119,0.11328947,1279.014,9.304
0:08:40,8.78,118,0.11552632,1282.248,9.203
0:08:50,8.98,119,0.11815789,1286.075,9.253
0:09:00,9.17,118,0.12065789,1289.731,9.149
0:09:10,9.34,120,0.12289474,1293.020,9.281
0:09:20,9.53,120,0.12539474,1296.716,9.254
0:09:30,9.71,120,0.12776316,1300.237,9.229
0:09:40,9.9,119,0.13026316,1303.975,9.126
0:09:50,10.08,119,0.13263158,1307.535,9.101
0:10:00,10.26,121,0.13500000,1311.116,9.229
0:10:10,10.45,121,0.13750000,1314.916,9.202
0:10:20,10.63,122,0.13986842,1318.537,9.253
0:10:30,10.81,120,0.14223684,1322.177,9.076
0:10:40,10.98,121,0.14447368,1325.634,9.128
0:10:50,11.23,123,0.14776316,1330.751,9.243
0:11:00,11.38,122,0.14973684,1333.840,9.147
0:11:10,11.58,123,0.15236842,1337.981,9.193
0:11:20,11.76,123,0.15473684,1341.730,9.167
0:11:30,11.92,123,0.15684211,1345.080,9.144
0:11:40,12.11,120,0.15934211,1349.080,8.895
0:11:50,12.29,123,0.16171053,1352.892,9.092
0:12:00,12.49,123,0.16434211,1357.152,9.063
0:12:10,12.68,123,0.16684211,1361.225,9.036
0:12:20,12.86,121,0.16921053,1365.105,8.864
0:12:30,13.04,124,0.17157895,1369.008,9.058
0:12:40,13.22,125,0.17394737,1372.933,9.105
0:12:50,13.41,124,0.17644737,1377.101,9.004
0:13:00,13.59,124,0.17881579,1381.073,8.979
0:13:10,13.79,124,0.18144737,1385.513,8.950
0:13:20,13.96,124,0.18368421,1389.309,8.925
0:13:30,14.15,124,0.18618421,1393.577,8.898
0:13:40,14.33,124,0.18855263,1397.645,8.872
0:13:50,14.42,124,0.18973684,1399.687,8.859
0:14:00,,,0.00000000,1134.115,0.000
0:14:10,,,0.00000000,1134.115,0.000
0:14:20,,,0.00000000,1134.115,0.000
0:14:30,,,0.00000000,1134.115,0.000
0:14:40,,,0.00000000,1134.115,0.000
0:14:50,,,0.00000000,1134.115,0.000
0:15:00,,,0.00000000,1134.115,0.000
0:15:10,,,0.00000000,1134.115,0.000
0:15:20,,,0.00000000,1134.115,0.000
0:15:30,,,0.00000000,1134.115,0.000
0:15:40,,,0.00000000,1134.115,0.000
0:15:50,,,0.00000000,1134.115,0.000
0:16:00,,,0.00000000,1134.115,0.000
0:16:10,,,0.00000000,1134.115,0.000
0:16:20,,,0.00000000,1134.115,0.000
0:16:30,,,0.00000000,1134.115,0.000
0:16:34,,,0.00000000,1134.115,0.000
